,Volume,vw,Open,Close,High,Low,t,n
0,779.0,443.4989,443.5,443.52,443.52,443.5,1688371200000,20.0
1,777.0,443.6011,443.6,443.6,443.6,443.6,1688371260000,11.0
2,1916.0,443.5951,443.6,443.58,443.64,443.57,1688371320000,14.0
3,928.0,443.6111,443.62,443.62,443.62,443.6,1688371380000,9.0
4,330.0,443.6315,443.63,443.63,443.63,443.63,1688371440000,6.0
5,1413.0,443.6497,443.65,443.65,443.65,443.65,1688371500000,8.0
6,1414.0,443.6544,443.68,443.61,443.68,443.61,1688371560000,22.0
7,263.0,443.6383,443.66,443.62,443.66,443.62,1688371620000,5.0
8,978.0,443.5779,443.6,443.57,443.6,443.57,1688371680000,8.0
9,294.0,443.5934,443.58,443.58,443.58,443.58,1688371740000,7.0
10,1436.0,443.6782,443.63,443.68,443.68,443.63,1688371860000,12.0
11,447.0,443.7139,443.7,443.75,443.75,443.69,1688371920000,6.0
12,102.0,443.7294,443.73,443.73,443.73,443.73,1688371980000,2.0
13,8105.0,443.7002,443.67,443.74,443.74,443.66,1688372040000,29.0
14,876.0,443.6601,443.65,443.67,443.67,443.64,1688372340000,7.0
15,685.0,443.724,443.72,443.72,443.72,443.72,1688372460000,8.0
16,402.0,443.5951,443.58,443.6,443.6,443.58,1688372640000,6.0
17,254.0,443.5976,443.6,443.6,443.6,443.6,1688372760000,4.0
18,506.0,443.6606,443.65,443.67,443.67,443.65,1688372820000,6.0
19,179.0,443.6863,443.69,443.69,443.69,443.69,1688373120000,5.0
20,701.0,443.7873,443.79,443.79,443.79,443.79,1688373240000,9.0
21,262.0,443.8091,443.81,443.81,443.81,443.81,1688373360000,5.0
22,1155.0,443.7652,443.76,443.77,443.77,443.76,1688373480000,6.0
23,2300.0,443.8396,443.81,443.85,443.85,443.81,1688373540000,7.0
24,544.0,443.8308,443.83,443.83,443.83,443.83,1688373600000,6.0
25,262.0,443.8022,443.8,443.8,443.8,443.8,1688373840000,3.0
26,645.0,443.843,443.84,443.84,443.84,443.84,1688373900000,7.0
27,973.0,443.8028,443.8,443.8,443.8,443.8,1688373960000,11.0
28,432.0,443.792,443.77,443.77,443.77,443.77,1688374080000,9.0
29,549.0,443.7701,443.77,443.8,443.8,443.77,1688374380000,7.0
30,218.0,443.6922,443.69,443.69,443.69,443.69,1688374500000,5.0
31,2167.0,443.6748,443.68,443.67,443.68,443.67,1688374620000,12.0
32,208.0,443.7067,443.71,443.71,443.71,443.71,1688374680000,4.0
33,479.0,443.6963,443.71,443.68,443.71,443.68,1688374860000,8.0
34,149.0,443.7019,443.7,443.7,443.7,443.7,1688374920000,3.0
35,342.0,443.6813,443.7,443.67,443.7,443.67,1688374980000,10.0
36,301.0,443.6801,443.67,443.69,443.69,443.67,1688375040000,4.0
37,1033.0,443.6114,443.61,443.61,443.61,443.61,1688375280000,8.0
38,466.0,443.6552,443.66,443.66,443.66,443.66,1688375520000,3.0
39,213.0,443.6301,443.64,443.64,443.64,443.64,1688375580000,6.0
40,3607.0,443.6036,443.62,443.59,443.62,443.59,1688375640000,18.0
41,367.0,443.6374,443.65,443.65,443.65,443.65,1688375700000,6.0
42,287.0,443.6666,443.67,443.67,443.67,443.67,1688375820000,4.0
43,198.0,443.6692,443.69,443.69,443.69,443.69,1688375940000,8.0
44,338.0,443.6612,443.67,443.67,443.67,443.67,1688376000000,5.0
45,305.0,443.602,443.59,443.59,443.59,443.59,1688376060000,7.0
46,178.0,443.6144,443.61,443.61,443.61,443.61,1688376120000,4.0
47,421.0,443.6369,443.65,443.63,443.65,443.63,1688376540000,5.0
48,623.0,443.5709,443.57,443.57,443.57,443.57,1688376660000,5.0
49,5350.0,443.5873,443.55,443.57,443.63,443.55,1688376840000,21.0
50,232.0,443.574,443.56,443.56,443.56,443.56,1688376960000,4.0
51,255.0,443.62,443.62,443.62,443.62,443.62,1688377020000,4.0
52,124.0,443.6032,443.6,443.6,443.6,443.6,1688377140000,6.0
53,607.0,443.5135,443.51,443.51,443.51,443.51,1688377380000,5.0
